"what" comment	comments,code,deodorant,smell,comment
sandbox	testing,environment,production,operations,security,reasons
sanity check	test,outcome,calculation,script,analysis,sense,visualisation
scalar	value,scalars,languages,values,vectors,unit,length
schema	specification,format,dataset,content,table
scope	portion,program,definition,closure
script	program,language,user,programmers
search path	list,directories,program,unix,shell,search,path,variable
secure shell	protocol,program,access,server,channel,information
seed	value,generator
select	columns,rows,table,location
selecting on the dependent variable bias	study,cases,variable,value,values,bias
self join	join,table
semantic versioning	standard,software,releases,version,identifier,major.minor.patch,changes,versions,features,bugs
sense vote	vote,discussion,meeting
sensitivity	measure,classification,model,rate,proportion,people,disease,sensitivity
sequential data	list,data,items,property,item
server	program,database,manager,web,server,data,client,request
shader	program,gpu,graphics,lighting,position,vertices,scene,programming,compute,shaders,#compute_shader
shebang	unix,character,sequence,`#!/usr,bin,python,file,shell,program
shell	command,interface,user,operating,bash,unix,macos,powershell,windows
shell script	commands,shell,file,script,program
shell variable	unix,shell,variables,home`,user,home,directory,path`,search,path
shiny	package,web,applications,data,graphs,tables,html,css,javascript
short circuit test	test,arguments,languages,expression
short identifier (of commit)	characters,identifier,identifiers,people,repository,history
short option	letter,identifier,command,argument,flags,dash
shotgun surgery	feature,change,files
side effect	change,function,finishes,variable,writing,file,effects,programs,people,program
side effects	set_gold,amount,dancing,animation,payday,timer,methods,behavior,callers,debuggers
signal (a condition)	program,event,condition,exception,python,hand,raising,exceptions,situations
simple mail transfer protocol	internet,communication,protocol,email
simple mail transfer protocol secure	smtp,tls
single square brackets	brackets,structure,index,value,range,values
single-threaded	model,program,execution,people
singleton	element,class,instance
singleton pattern	design,pattern,singleton,object,resource,service,database,cache,programming,constructor,class
slug	portion,page,url,https://www.mysite.com/category/post-name`,,slug,post
snake case	pothole
software distribution	programs,collection
source code	source,code,origin,means,interpreter,compiler,series,commands,program,note,generators,applications
source distribution	software,distribution,source,code,programs,target,computer
special case	statement,edge,logic,hotfix,reader,branch,head
specificity	measure,classification,model,rate,proportion,people,disease,specificity
spectral analysis	record,data,sequence,power,frequency,spectrum,analysis,problem
speculative generality	base,class,hierarchy,parameters,feature,abstractions,future,code,generality
sprint	period,work,project
sql	language,writing,queries,database,acronym,query
square root	root
ssh key	string,bits,file,user,ssh,key,parts
stack frame	section,call,stack,details,function
stack overflow	question,answer,site,programmers
stale (in build)	date,prerequisite,build,manager,job,things
standard deviation	values,dataset,mean,root,variance
standard error	communication,channel,error,messages
standard input	communication,channel,input,keyboard,pipe
standard normal distribution	distribution,mean,deviation,values,distributions,parameters
standard output	communication,channel,output,screen,pipe
status variable	loop,check,flags,control,flow,return,logic
stratified sampling	values,population
stream	flow,data,bits,network,connection,bytes,file
string	block,text,program,character,string
string interpolation	text,values,string,output
student's t-distribution	distribution
subcommand	command,family,commands,git,commit`,subcommand
subdirectory	directory
supervised learning	machine,learning,algorithm,values,training,data
support vector machine	learning,algorithm,points,dataset,space,sets
synchronous	programming,operations,ones
systematic error	bias
t-distribution	variation,distribution,variance,sample,advance
tab completion	technique,repls,shells,programming,editors,command,filename,text,tab,key
table	records,database,observations,data,frame,tables,rows,record,observation,columns,field,variable
tag (in version control)	label,commit
temperature	hyperparameter,randomness,text,generation
template method pattern	design,pattern,parent,class,sequence,operations,methods,child,classes,steps
temporary field	field,months,year,calculation,object,moment,relevance
ternary expression	expression,parts,expressions,ternary,languages
tessellation shader	shader,stage,rendering,pipeline,primitives,resolution,mesh,memory,geometry,shaders,shape
test data	test,data,portion,dataset,correctness,machine,learning,algorithm,training,model
test runner	program,software,tests,results
test-driven development	programming,practice,tests,feature,bug,goal
three vs	volume,velocity,variety,data
throw (exception)	exception
tibble	replacement,data,frame,columns,rows,tidyverse
ticket	issue
ticketing system	issue,tracking
tidy data	data,conditions,cleaning,exploration,analysis,variable,column,observation,row,unit,table
tidymodels	collection,packages,modeling,analysis,philosophy
tidyverse	collection,packages,data,ways
time series	measurements,times,intervals
timestamp	identifier,timestamps,iso,date,format,portability
token	unit,text,language,models,tokens,pieces,character,sequences
tolerance	test,tolerances,terms,error
top-k and top-p sampling	techniques,token,selection,generation
training data	training,data,portion,dataset,machine,learning,algorithm,test,model
tramp data	data,chain,methods,function,parameter
transfer learning (deep learning)	transfer,learning,stages,pre-training,phase,network,dataset,tuning,specifics,idea,knowledge,task
transformer	network,architecture,llms,self,attention,mechanisms,sequences
transitive dependency	dependency
transport layer security	protocol,communications,computer,network
tree	graph,node,root,parent
triage	issues,project,priorities,triage,responsibilities,manager
true	boolean,logic,programming
true negative	data,points
true positive	data,points
truthy	context
tuple	data,parts,color,components,specification,python,tuples,values
two hard problems in computer science	quote,phil,karlton,problems,computer,science,cache,invalidation,naming,things,variations,problem,errors
type coercion	data,integer
type embedded in name	playername,datestring,userlist,annotation,today,tomorrow
unary expression	expression,argument,log
uncommunicative name	data,val,temp,get_f,code,reverse,engineering,abbreviation,author,self
unicode	standard,codes,thousands,characters,symbols,unicode,numbers,standards,utf
uniform resource locator	address,world,web.,urls,web,pages,datasets,database,queries,query,string
unit test	test,function,feature,piece,software,pass,error
unix	unix,family,operating,systems,at&t,bell,labs,features,tools,functionality,nature
unsupervised learning	algorithms,data,advance,groups
up-vote	vote,favor
update operator	operator
upstream repository	repository,programmers,changes,pull,request
user interface	platform,interaction,user,machine,text,command,interface,graphics,windows,methods,voice,interfaces
utf-8	codes,unicode,characters,memory,ascii,standard
variable (data)	attribute,population
variable (program)	program,data,variable,value,definition
variable arguments	function,ability,arguments,python,args,`**,kwargs
variance	values,dataset,mean,average,differences,deviation,units,data,variance
vector	sequence,values,vectors,data,structure,scalar,vector,element
vectorize	code,operations,vectors,element,loops
version control system	changes,software,development
vertex shader	shader,stage,rendering,pipeline,operations,vertices,scene,vertex,properties,position,per-vertex,lighting,fragment,shaders,colour,pixel,screen
vertical separation	variables,top,lines,logic
vignette	guide,details,package,readme,function,documentation
vim (editor)	default,text,editor,unix,vim,learning,curve,nano,user,shell,commands,expressions,files
virtual environment	python,virtualenv`,package,software,environments,packages,versions,project,task,environment,default
virtual machine	program,computer,bit,vms,changes,machine,packages,operating
visitor pattern	design,pattern,operation,element,data,structure,turn,generator,visitor,elements,function
walk (a tree)	node,tree,depth,breadth
while loop	statement,program,statements,loop,body,condition
whitespace	space,newline,carriage,return,tab,characters,mark,appearance,page,era,typewriters
wildcard	character,expression,text,`*.csv,filename,`.csv
workflow	work,tasks,dependencies,inputs,outputs,program,makefile,make,unix,command
xml	rules,html,tags,documents,data,xml,2000s,complexity,programmers,json
yaml	yaml,markup,language,data,indentation,parentheses,commas,json,configuration,files,parameters,flavours,markdown,documents
